Station Number,Station Name,Open Retail Status,Address,City,State,Zip Code,COUNTY,Number of Stations,Latitude,Longitude,Fueling Positions
1,Diamond Bar,Open Retail,21865 E. Copley Drive,Diamond Bar,CA,91765,Los Angeles,1,34.0010516,-117.83159,1
2,West Sacramento,Open Retail,1515 S. River Road,West Sacramento,CA,95691,Yolo,1,38.569456,-121.5239562,2
3,UC Irvine,Open Retail,19172 Jamboree Rd.,Irvine,CA,92612,Orange,1,33.6647335,-117.8570501,1
4,San Juan Capistrano,Open Retail,26572 Junipero Serra Rd.,San Juan Capistrano,CA,92675,Orange,1,33.5197168,-117.6692815,2
5,Santa Monica,Open Retail,1819 Cloverfield Blvd.,Santa Monica,CA,90404,Los Angeles,1,34.0253355,-118.4718419,1
6,Fairfax,Open Retail,7751 Beverly Blvd.,Los Angeles,CA,90036,Los Angeles,1,34.0763981,-118.360874,1
7,Lawndale,Open Retail,15606 Inglewood Ave.,Lawndale,CA,90260,Los Angeles,1,33.8894198,-118.3632137,1
8,Woodland Hills,Open Retail,5314 Topanga Canyon Rd.,Woodland Hills,CA,91364,Los Angeles,1,34.1664593,-118.6075399,1
9,Anaheim,Open Retail,3731 E. La Palma Ave.,Anaheim,CA,92806,Orange,1,33.8558266,-117.8398771,1
10,Mountain View,Open Retail,830 Leong Dr.,Mountain View,CA,94043,Santa Clara,1,37.4051407,-122.0690881,1
11,LAX,Open Retail,10400 Aviation Blvd.,Los Angeles,CA,90045,Los Angeles,1,33.9416276,-118.3802267,1
12,CSULA,Open Retail,5151 State University Dr.,Los Angeles,CA,90032,Los Angeles,1,34.0620435,-118.1758474,1
13,Harris Ranch,Open Retail,24505 W. Dorris Ave.,Coalinga,CA,93210,Fresno,1,36.2491542,-120.2424817,1
14,South San Francisco,Open Retail,248 S. Airport Blvd.,South San Francisco,CA,94080,San Mateo,1,37.6479527,-122.4080995,1
15,San Jose - N. 1st,Open Retail,2101 N. 1st St.,San Jose,CA,95131,Santa Clara,1,37.3733553,-121.9210615,1
16,Long Beach,Open Retail,3401 Long Beach Blvd.,Long Beach,CA,90807,Los Angeles,1,33.8192302,-118.1919115,1
17,Riverside,Open Retail,8095 Lincoln Ave.,Riverside,CA,92504,Riverside,1,33.9239256,-117.4121106,1
18,Costa Mesa,Open Retail,2050 Harbor Blvd.,Costa Mesa,CA,92627,Orange,1,33.6487448,-117.9209787,1
